Compound,Cruise,Exp,mean.part.conc.nM,sd.part.conc.nM
Glycine betaine,KM1906,UKG1,0.46059760893884527,0.04460653697654161
Glycine betaine,KM1906,UKG2,0.5513854703481853,0.16814551432932065
Glycine betaine,RC078,UKG1,8.902973221982252,1.5898872440065828
Glycine betaine,RC078,UKH1,3.444131090836879,0.15223240997532217
Glycine betaine,RC078,UKH2,12.275408987710527,0.28379650986576155
Glycine betaine,RC104,UCH1,1.0387251902939172,0.12983634960788829
Glycine betaine,RC104,UKG1,0.7751267172839882,0.0949513606153766
Glycine betaine,RC104,UKH1,1.0449660857709877,0.20004431204111317
Glycine betaine,TN397,UCH1,0.3386418921876928,0.1162580590130777
Glycine betaine,TN397,UKH1,0.26732029387315714,0.04810467270236028
Glycine betaine,TN397,UKH2,0.2594002176013831,0.04937117453932735
Glycine betaine,TN397,UKH3,0.5824905332185761,0.04171274310873779
Glycine betaine,TN397,UKH4,0.8032160536680485,0.20172267679171052
Glycine betaine,TN397,UKH5,0.7440095255895934,0.15473831171989114
Glycine betaine,TN412,UKG,0.31934116145038266,0.04864660841135635
Homarine,KM1906,UKG1,0.2729305954387349,0.023246839942224904
Homarine,KM1906,UKG2,0.5204197240967361,0.1027887792754551
Homarine,RC078,UKG1,1.5330960126697855,0.16572576585421733
Homarine,RC078,UKH1,1.133121883872534,0.13452720458180364
Homarine,RC078,UKH2,2.414706888883376,0.2314454804711998
Homarine,RC104,UCH1,0.5160527126851917,0.06999733799851905
Homarine,RC104,UKG1,0.2948696826549982,0.0583767137768225
Homarine,RC104,UKH1,0.4101057760297335,0.07737921027191175
Homarine,TN397,UCH1,0.018173142911411394,0.010918230202509578
Homarine,TN397,UKH1,0.013528553428024663,0.002777544015315011
Homarine,TN397,UKH2,0.029023496858883304,0.011348416722255764
Homarine,TN397,UKH3,0.20898716573855342,0.015696943697123822
Homarine,TN397,UKH4,0.29304780949805515,0.034739801351218076
Homarine,TN397,UKH5,0.25819844967688943,0.020773443641532295
Homarine,TN412,UKG,0.014354023946570099,0.006694201119653135
